Sex,Length,Diameter,Height,Whole weightShucked weight,Viscera weight,Shell weight,Rings,Age
M,0.720,0.575,0.230,2.270,0.884,0.399,0.665,16
M,0.550,0.405,0.150,0.924,0.412,0.214,0.240,7
I,0.200,0.145,0.025,0.035,0.011,0.008,0.010,5
M,0.650,0.515,0.180,1.332,0.567,0.347,0.405,13
F,0.525,0.405,0.115,0.720,0.311,0.192,0.200,14
M,0.565,0.435,0.185,1.032,0.354,0.205,0.310,20
F,0.610,0.470,0.160,1.017,0.426,0.226,0.320,12
F,0.545,0.405,0.175,0.980,0.259,0.207,0.380,18
I,0.325,0.245,0.075,0.150,0.061,0.033,0.045,5
I,0.310,0.235,0.075,0.152,0.056,0.032,0.050,7
M,0.450,0.335,0.140,0.478,0.187,0.115,0.160,11
F,0.490,0.380,0.155,0.578,0.240,0.126,0.180,9
F,0.505,0.405,0.160,0.684,0.271,0.145,0.215,10
F,0.385,0.300,0.100,0.273,0.112,0.057,0.080,6
F,0.620,0.485,0.220,1.511,0.510,0.284,0.510,17
F,0.635,0.505,0.185,1.304,0.501,0.295,0.410,17
F,0.665,0.530,0.185,1.396,0.456,0.321,0.490,15
M,0.335,0.265,0.095,0.198,0.080,0.038,0.070,9
I,0.295,0.215,0.075,0.116,0.037,0.030,0.040,8
I,0.480,0.380,0.125,0.523,0.211,0.105,0.175,15
I,0.320,0.250,0.080,0.157,0.057,0.034,0.060,9
I,0.430,0.340,0.125,0.384,0.138,0.061,0.146,14
M,0.565,0.450,0.140,1.006,0.379,0.244,0.265,12
F,0.600,0.480,0.165,1.135,0.454,0.270,0.335,10
F,0.585,0.460,0.170,1.084,0.375,0.326,0.325,14
F,0.555,0.420,0.140,0.868,0.330,0.243,0.210,13
F,0.570,0.495,0.160,1.092,0.452,0.275,0.315,14
F,0.620,0.485,0.175,1.271,0.531,0.308,0.370,11
M,0.630,0.510,0.190,1.499,0.413,0.308,0.545,16
M,0.425,0.340,0.120,0.388,0.149,0.087,0.125,10
F,0.640,0.505,0.190,1.236,0.444,0.311,0.365,14
M,0.675,0.525,0.175,1.402,0.483,0.321,0.465,16
M,0.500,0.400,0.145,0.603,0.216,0.138,0.210,11
M,0.385,0.305,0.090,0.278,0.109,0.052,0.100,9
M,0.520,0.435,0.195,0.973,0.299,0.214,0.355,18
M,0.520,0.415,0.175,0.753,0.258,0.171,0.255,8
M,0.640,0.525,0.200,1.377,0.440,0.308,0.470,16
I,0.440,0.350,0.120,0.375,0.143,0.097,0.115,9
F,0.420,0.320,0.130,0.414,0.165,0.106,0.119,10
F,0.450,0.350,0.135,0.560,0.231,0.137,0.145,13
I,0.420,0.325,0.125,0.392,0.158,0.103,0.115,9
F,0.640,0.505,0.190,1.277,0.484,0.328,0.400,12
M,0.570,0.455,0.150,0.960,0.387,0.239,0.275,11
M,0.410,0.325,0.120,0.375,0.158,0.081,0.125,12
M,0.485,0.410,0.150,0.696,0.241,0.163,0.265,13
F,0.610,0.480,0.190,1.296,0.522,0.323,0.365,12
F,0.590,0.485,0.205,1.232,0.453,0.238,0.420,13
M,0.665,0.535,0.155,1.383,0.596,0.257,0.485,14
I,0.345,0.285,0.100,0.223,0.087,0.058,0.075,8
M,0.635,0.510,0.155,1.156,0.428,0.289,0.315,18
M,0.695,0.530,0.150,1.477,0.638,0.303,0.430,14
F,0.690,0.540,0.185,1.572,0.694,0.318,0.470,15
M,0.555,0.435,0.135,0.858,0.377,0.159,0.290,15
M,0.650,0.525,0.190,1.500,0.627,0.401,0.395,14
M,0.635,0.480,0.190,1.467,0.583,0.303,0.420,15
F,0.655,0.510,0.160,1.092,0.396,0.283,0.370,14
F,0.690,0.555,0.205,1.817,0.779,0.440,0.515,19
F,0.695,0.550,0.160,1.637,0.694,0.301,0.440,13
M,0.550,0.435,0.160,0.906,0.342,0.219,0.295,13
F,0.610,0.495,0.190,1.213,0.464,0.306,0.365,15
M,0.595,0.500,0.165,1.060,0.402,0.280,0.275,11
M,0.300,0.240,0.090,0.161,0.073,0.039,0.050,6
F,0.435,0.350,0.125,0.459,0.197,0.115,0.145,9
I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
M,0.480,0.380,0.130,0.618,0.300,0.142,0.175,12
I,0.430,0.350,0.105,0.366,0.171,0.086,0.110,6
F,0.435,0.350,0.105,0.420,0.194,0.101,0.130,7
I,0.300,0.230,0.075,0.150,0.061,0.042,0.045,5
F,0.575,0.480,0.150,0.875,0.375,0.193,0.290,12
M,0.505,0.385,0.110,0.655,0.319,0.150,0.185,9
M,0.455,0.375,0.125,0.484,0.216,0.102,0.165,7
M,0.640,0.505,0.165,1.444,0.615,0.304,0.390,18
F,0.560,0.435,0.125,0.878,0.335,0.215,0.290,13
F,0.645,0.520,0.190,1.311,0.580,0.288,0.370,12
F,0.595,0.485,0.145,1.252,0.504,0.293,0.330,14
M,0.565,0.450,0.115,0.909,0.398,0.197,0.290,17
F,0.655,0.500,0.140,1.171,0.541,0.318,0.285,12
M,0.480,0.380,0.135,0.528,0.200,0.140,0.160,14
F,0.495,0.385,0.135,0.663,0.301,0.164,0.185,11
F,0.400,0.335,0.115,0.434,0.211,0.121,0.120,10
M,0.410,0.310,0.125,0.360,0.142,0.089,0.115,11
F,0.595,0.465,0.145,1.107,0.402,0.242,0.310,12
F,0.625,0.475,0.130,0.860,0.320,0.178,0.240,13
M,0.520,0.425,0.155,0.774,0.297,0.123,0.255,17
M,0.465,0.360,0.125,0.437,0.169,0.108,0.145,11
F,0.475,0.375,0.140,0.501,0.192,0.118,0.175,13
F,0.500,0.405,0.140,0.674,0.265,0.124,0.250,18
M,0.460,0.355,0.110,0.415,0.215,0.082,0.130,12
M,0.485,0.385,0.125,0.478,0.200,0.079,0.170,12
F,0.465,0.390,0.140,0.556,0.213,0.108,0.215,15
M,0.525,0.415,0.160,0.645,0.260,0.158,0.220,12
F,0.655,0.530,0.190,1.428,0.493,0.318,0.565,18
M,0.690,0.540,0.185,1.620,0.533,0.353,0.555,24
M,0.550,0.450,0.170,0.810,0.317,0.157,0.220,11
F,0.580,0.475,0.165,1.039,0.414,0.260,0.305,13
F,0.590,0.475,0.155,0.972,0.371,0.235,0.280,11
M,0.565,0.440,0.155,0.868,0.348,0.217,0.260,11
F,0.665,0.570,0.185,1.522,0.697,0.303,0.405,13
F,0.620,0.510,0.175,1.126,0.499,0.227,0.315,14
M,0.550,0.460,0.130,0.709,0.305,0.146,0.205,12
F,0.605,0.475,0.145,1.019,0.470,0.225,0.270,15
M,0.535,0.420,0.160,0.720,0.275,0.164,0.225,15
F,0.510,0.395,0.120,0.618,0.262,0.122,0.193,12
M,0.530,0.405,0.130,0.738,0.285,0.170,0.193,9
F,0.495,0.375,0.150,0.597,0.262,0.135,0.178,11
M,0.575,0.455,0.185,1.156,0.553,0.243,0.295,13
F,0.630,0.500,0.160,1.220,0.491,0.300,0.345,14
M,0.590,0.450,0.120,0.749,0.335,0.132,0.220,14
F,0.605,0.485,0.165,1.074,0.437,0.205,0.330,14
M,0.645,0.500,0.190,1.229,0.524,0.278,0.395,17
F,0.620,0.500,0.175,1.146,0.477,0.230,0.390,13
M,0.605,0.485,0.175,1.145,0.433,0.270,0.405,16
F,0.615,0.500,0.205,1.106,0.445,0.227,0.390,16
F,0.660,0.525,0.190,1.670,0.653,0.488,0.490,11
F,0.710,0.575,0.175,1.555,0.647,0.371,0.520,15
F,0.565,0.450,0.185,0.929,0.302,0.181,0.265,12
F,0.570,0.435,0.140,0.809,0.324,0.183,0.220,16
I,0.600,0.445,0.175,1.057,0.383,0.216,0.355,16
I,0.410,0.300,0.115,0.260,0.097,0.052,0.080,10
F,0.450,0.325,0.135,0.438,0.181,0.117,0.110,9
M,0.275,0.200,0.080,0.099,0.037,0.024,0.030,5
I,0.485,0.355,0.120,0.509,0.210,0.122,0.135,9
F,0.620,0.485,0.165,1.166,0.483,0.238,0.355,13
F,0.480,0.380,0.135,0.507,0.192,0.137,0.155,12
F,0.505,0.410,0.150,0.635,0.243,0.134,0.215,17
M,0.400,0.310,0.110,0.314,0.138,0.057,0.100,11
I,0.450,0.355,0.115,0.439,0.184,0.108,0.113,11
M,0.350,0.260,0.090,0.195,0.075,0.041,0.066,9
M,0.440,0.350,0.140,0.451,0.171,0.071,0.184,16
M,0.265,0.200,0.065,0.084,0.034,0.011,0.030,7
M,0.165,0.125,0.040,0.025,0.010,0.005,0.008,4
F,0.705,0.555,0.200,1.469,0.472,0.324,0.520,19
F,0.535,0.425,0.155,0.777,0.302,0.157,0.250,16
I,0.490,0.385,0.140,0.543,0.198,0.127,0.175,11
F,0.480,0.370,0.130,0.589,0.248,0.151,0.160,15
F,0.395,0.300,0.105,0.338,0.144,0.076,0.098,12
I,0.375,0.280,0.100,0.257,0.117,0.059,0.073,12
M,0.345,0.265,0.090,0.163,0.062,0.037,0.049,10
I,0.550,0.415,0.135,0.810,0.299,0.202,0.280,12
I,0.635,0.480,0.200,1.366,0.626,0.260,0.425,16
I,0.575,0.475,0.170,0.967,0.378,0.284,0.275,13
F,0.545,0.435,0.150,0.686,0.291,0.145,0.225,10
F,0.385,0.305,0.125,0.314,0.146,0.056,0.080,10
F,0.510,0.340,0.180,0.701,0.312,0.165,0.200,11
I,0.440,0.340,0.125,0.490,0.174,0.088,0.200,13
I,0.450,0.360,0.125,0.450,0.191,0.087,0.145,12
I,0.390,0.300,0.105,0.259,0.096,0.038,0.085,8
F,0.425,0.325,0.135,0.382,0.147,0.079,0.140,12
F,0.450,0.350,0.125,0.444,0.185,0.090,0.145,11
I,0.660,0.525,0.180,1.694,0.603,0.401,0.420,15
F,0.685,0.525,0.175,1.710,0.542,0.309,0.580,16
F,0.585,0.475,0.185,0.858,0.347,0.179,0.275,12
I,0.540,0.435,0.145,0.970,0.429,0.220,0.264,17
F,0.490,0.390,0.135,0.590,0.215,0.125,0.185,12
M,0.430,0.330,0.095,0.340,0.132,0.085,0.112,14
F,0.455,0.365,0.110,0.385,0.166,0.046,0.135,13
I,0.495,0.380,0.145,0.515,0.175,0.098,0.212,13
F,0.480,0.380,0.145,0.590,0.232,0.141,0.230,12
I,0.470,0.400,0.160,0.510,0.162,0.073,0.198,14
M,0.415,0.320,0.100,0.301,0.122,0.058,0.104,11
I,0.490,0.385,0.115,0.683,0.327,0.162,0.165,13
I,0.470,0.375,0.105,0.468,0.167,0.108,0.170,10
I,0.445,0.345,0.130,0.408,0.137,0.065,0.180,11
F,0.510,0.380,0.130,0.584,0.224,0.136,0.185,13
F,0.520,0.405,0.145,0.829,0.354,0.169,0.205,15
I,0.475,0.365,0.140,0.455,0.171,0.118,0.158,8
F,0.455,0.360,0.110,0.439,0.206,0.098,0.125,10
I,0.435,0.340,0.110,0.407,0.169,0.073,0.130,10
I,0.390,0.300,0.100,0.309,0.139,0.074,0.085,6
I,0.375,0.285,0.100,0.239,0.105,0.056,0.070,8
M,0.285,0.215,0.075,0.106,0.042,0.023,0.035,5
I,0.580,0.445,0.170,1.178,0.394,0.217,0.315,20
F,0.580,0.440,0.175,1.073,0.401,0.235,0.335,19
M,0.410,0.315,0.095,0.306,0.121,0.074,0.090,9
M,0.410,0.300,0.100,0.301,0.124,0.069,0.090,9
I,0.540,0.405,0.150,0.759,0.307,0.208,0.190,10
M,0.330,0.245,0.085,0.171,0.066,0.037,0.055,11
I,0.440,0.310,0.115,0.363,0.134,0.082,0.120,11
M,0.280,0.210,0.065,0.091,0.035,0.020,0.030,5
I,0.590,0.465,0.195,1.089,0.369,0.187,0.375,17
I,0.610,0.480,0.165,1.097,0.422,0.264,0.335,13
I,0.610,0.460,0.170,1.278,0.410,0.257,0.370,17
M,0.455,0.345,0.125,0.440,0.169,0.107,0.135,12
M,0.330,0.235,0.090,0.163,0.062,0.034,0.055,10
I,0.440,0.330,0.135,0.522,0.170,0.091,0.195,16
M,0.540,0.405,0.155,0.972,0.323,0.194,0.290,19
F,0.475,0.375,0.125,0.588,0.237,0.172,0.155,10
F,0.460,0.330,0.150,0.533,0.209,0.181,0.125,10
I,0.310,0.235,0.090,0.127,0.048,0.031,0.040,6
I,0.255,0.190,0.070,0.082,0.028,0.016,0.031,5
M,0.335,0.255,0.075,0.164,0.062,0.035,0.057,8
I,0.295,0.210,0.080,0.100,0.038,0.026,0.031,8
I,0.190,0.130,0.045,0.027,0.009,0.005,0.009,5
M,0.545,0.435,0.165,0.996,0.325,0.267,0.325,19
M,0.495,0.400,0.120,0.661,0.261,0.161,0.190,15
M,0.500,0.375,0.130,0.721,0.306,0.173,0.220,14
F,0.305,0.225,0.070,0.149,0.059,0.034,0.045,7
F,0.475,0.350,0.115,0.487,0.194,0.146,0.125,13
M,0.515,0.400,0.125,0.955,0.341,0.254,0.260,13
M,0.545,0.410,0.145,0.873,0.304,0.196,0.310,18
M,0.740,0.535,0.185,1.650,0.734,0.451,0.335,13
M,0.565,0.465,0.150,1.129,0.377,0.353,0.330,16
M,0.560,0.440,0.160,1.112,0.504,0.279,0.260,10
M,0.545,0.420,0.125,0.975,0.353,0.174,0.305,13
M,0.645,0.515,0.185,1.461,0.584,0.316,0.410,19
M,0.575,0.435,0.130,1.011,0.368,0.222,0.320,10
M,0.620,0.480,0.160,1.077,0.412,0.253,0.300,13
F,0.605,0.450,0.165,1.223,0.357,0.202,0.385,13
M,0.605,0.475,0.160,1.616,0.550,0.332,0.340,18
F,0.475,0.375,0.150,0.559,0.196,0.122,0.195,12
M,0.365,0.285,0.085,0.221,0.086,0.052,0.070,9
F,0.460,0.350,0.115,0.440,0.190,0.103,0.130,8
M,0.530,0.430,0.135,0.879,0.280,0.217,0.250,10
M,0.480,0.395,0.150,0.682,0.215,0.141,0.250,18
M,0.455,0.345,0.150,0.580,0.169,0.125,0.215,13
I,0.350,0.265,0.110,0.209,0.066,0.059,0.075,9
M,0.370,0.280,0.105,0.224,0.082,0.058,0.075,8
I,0.340,0.250,0.075,0.177,0.079,0.041,0.050,7
I,0.350,0.280,0.075,0.196,0.082,0.040,0.064,8
I,0.350,0.265,0.080,0.192,0.081,0.047,0.053,6
I,0.390,0.315,0.090,0.310,0.147,0.050,0.090,7
I,0.395,0.310,0.095,0.313,0.131,0.072,0.093,7
I,0.415,0.310,0.105,0.360,0.167,0.083,0.092,6
I,0.430,0.320,0.100,0.386,0.192,0.075,0.100,7
I,0.480,0.355,0.115,0.579,0.250,0.106,0.184,8
M,0.490,0.395,0.120,0.674,0.333,0.124,0.185,9
F,0.490,0.370,0.105,0.527,0.249,0.101,0.148,7
F,0.560,0.465,0.160,1.032,0.432,0.203,0.337,9
M,0.560,0.450,0.140,0.900,0.472,0.182,0.218,7
M,0.580,0.460,0.150,1.017,0.491,0.221,0.265,9
F,0.580,0.480,0.180,1.250,0.495,0.270,0.371,8
M,0.590,0.470,0.135,1.169,0.539,0.279,0.280,8
F,0.595,0.475,0.165,1.148,0.444,0.214,0.370,10
M,0.600,0.475,0.150,1.089,0.520,0.223,0.292,11
M,0.610,0.470,0.155,1.033,0.497,0.218,0.279,9
F,0.630,0.475,0.150,1.172,0.536,0.254,0.316,11
M,0.640,0.510,0.170,1.372,0.567,0.307,0.409,10
F,0.650,0.545,0.185,1.506,0.657,0.341,0.430,10
M,0.710,0.550,0.200,1.905,0.882,0.440,0.500,13
M,0.740,0.605,0.200,2.493,1.146,0.575,0.524,13
I,0.250,0.180,0.065,0.081,0.035,0.019,0.022,4
I,0.280,0.210,0.065,0.111,0.043,0.029,0.030,6
I,0.325,0.240,0.075,0.152,0.065,0.031,0.045,6
I,0.350,0.265,0.095,0.199,0.073,0.049,0.060,5
I,0.360,0.270,0.090,0.219,0.097,0.041,0.065,6
I,0.365,0.270,0.105,0.216,0.092,0.048,0.063,6
I,0.370,0.280,0.090,0.257,0.126,0.065,0.065,6
I,0.375,0.285,0.090,0.257,0.105,0.062,0.075,7
I,0.380,0.275,0.095,0.251,0.095,0.066,0.075,6
I,0.395,0.300,0.090,0.279,0.134,0.049,0.075,8
I,0.430,0.335,0.105,0.378,0.188,0.079,0.090,6
I,0.440,0.350,0.125,0.456,0.210,0.096,0.131,8
I,0.465,0.370,0.100,0.506,0.234,0.110,0.140,7
F,0.465,0.355,0.115,0.471,0.196,0.118,0.126,7
M,0.480,0.370,0.130,0.643,0.349,0.116,0.135,8
I,0.485,0.370,0.100,0.513,0.219,0.108,0.130,7
F,0.490,0.400,0.115,0.569,0.256,0.133,0.145,9
I,0.495,0.400,0.145,0.578,0.255,0.131,0.165,8
I,0.500,0.385,0.110,0.596,0.302,0.104,0.151,8
F,0.505,0.390,0.120,0.573,0.256,0.133,0.146,8
M,0.520,0.390,0.120,0.644,0.289,0.157,0.161,7
M,0.520,0.395,0.125,0.812,0.404,0.166,0.200,7
F,0.525,0.440,0.125,0.712,0.321,0.159,0.192,7
M,0.550,0.440,0.155,0.916,0.365,0.195,0.250,8
F,0.555,0.440,0.145,0.882,0.430,0.198,0.216,8
F,0.555,0.420,0.110,0.931,0.445,0.171,0.225,8
F,0.575,0.460,0.165,1.065,0.499,0.215,0.282,8
M,0.600,0.475,0.155,1.139,0.502,0.230,0.310,9
F,0.610,0.480,0.160,1.234,0.598,0.238,0.315,12
F,0.610,0.495,0.175,1.264,0.530,0.315,0.346,10
F,0.610,0.470,0.160,1.075,0.493,0.236,0.290,8
M,0.615,0.505,0.190,1.403,0.672,0.293,0.365,8
M,0.620,0.485,0.165,1.133,0.524,0.251,0.283,9
F,0.625,0.495,0.160,1.112,0.450,0.283,0.345,11
F,0.625,0.470,0.170,1.255,0.525,0.242,0.405,10
M,0.625,0.485,0.170,1.437,0.586,0.293,0.475,11
M,0.635,0.495,0.155,1.364,0.583,0.299,0.295,10
F,0.640,0.480,0.195,1.144,0.492,0.235,0.353,9
M,0.640,0.500,0.170,1.455,0.642,0.358,0.354,9
M,0.660,0.525,0.180,1.478,0.582,0.381,0.372,10
F,0.665,0.520,0.165,1.689,0.730,0.407,0.427,11
F,0.715,0.585,0.230,2.073,0.866,0.410,0.565,10
M,0.720,0.565,0.200,1.787,0.718,0.385,0.529,11
F,0.725,0.580,0.185,1.523,0.805,0.360,0.438,9
I,0.165,0.120,0.050,0.021,0.008,0.005,0.014,3
I,0.210,0.150,0.055,0.046,0.020,0.007,0.013,4
I,0.355,0.265,0.085,0.244,0.122,0.053,0.060,6
I,0.400,0.315,0.085,0.268,0.116,0.059,0.077,6
I,0.400,0.290,0.100,0.258,0.104,0.059,0.082,7
I,0.400,0.300,0.110,0.299,0.138,0.071,0.075,6
I,0.435,0.335,0.110,0.411,0.203,0.095,0.100,7
I,0.440,0.330,0.110,0.380,0.197,0.079,0.090,7
I,0.450,0.340,0.105,0.439,0.210,0.093,0.120,8
I,0.465,0.345,0.105,0.402,0.242,0.035,0.109,6
I,0.470,0.355,0.145,0.449,0.156,0.102,0.123,7
I,0.470,0.355,0.115,0.416,0.167,0.084,0.139,7
I,0.475,0.420,0.160,0.710,0.350,0.151,0.185,8
I,0.485,0.370,0.115,0.637,0.380,0.134,0.128,7
F,0.505,0.475,0.160,1.116,0.509,0.239,0.307,8
I,0.510,0.405,0.130,0.599,0.307,0.116,0.149,8
I,0.520,0.380,0.130,0.535,0.238,0.122,0.154,8
F,0.530,0.420,0.140,0.627,0.291,0.117,0.183,8
M,0.535,0.420,0.160,0.747,0.348,0.152,0.219,10
M,0.550,0.440,0.160,0.985,0.465,0.201,0.270,8
M,0.555,0.440,0.145,0.850,0.417,0.169,0.230,8
M,0.555,0.440,0.150,0.838,0.416,0.146,0.230,8
F,0.555,0.430,0.135,0.812,0.406,0.163,0.222,9
M,0.560,0.415,0.130,0.762,0.370,0.170,0.196,8
M,0.575,0.440,0.145,0.870,0.395,0.220,0.225,8
F,0.585,0.450,0.145,0.984,0.485,0.242,0.220,9
M,0.590,0.460,0.145,0.929,0.380,0.240,0.255,10
F,0.595,0.470,0.165,1.016,0.491,0.191,0.289,9
M,0.600,0.410,0.145,0.939,0.448,0.196,0.268,8
M,0.600,0.475,0.160,1.164,0.505,0.264,0.335,12
M,0.610,0.470,0.175,1.214,0.532,0.284,0.325,10
F,0.615,0.490,0.190,1.135,0.470,0.257,0.348,11
F,0.620,0.510,0.180,1.233,0.592,0.274,0.322,10
M,0.625,0.495,0.180,1.082,0.472,0.254,0.314,10
M,0.625,0.470,0.175,1.179,0.605,0.258,0.271,9
F,0.640,0.500,0.165,1.164,0.554,0.239,0.320,11
F,0.640,0.475,0.175,1.155,0.487,0.341,0.288,9
F,0.645,0.520,0.175,1.335,0.667,0.267,0.355,10
M,0.650,0.505,0.180,1.469,0.712,0.334,0.380,9
M,0.655,0.520,0.180,1.492,0.719,0.360,0.355,11
F,0.655,0.540,0.175,1.559,0.729,0.402,0.385,11
F,0.660,0.500,0.175,1.328,0.556,0.281,0.409,9
M,0.670,0.525,0.180,1.662,0.801,0.365,0.430,10
F,0.690,0.525,0.190,1.492,0.643,0.391,0.420,12
F,0.700,0.575,0.200,1.737,0.776,0.397,0.461,11
F,0.700,0.560,0.175,1.661,0.861,0.328,0.398,11
M,0.710,0.570,0.195,1.348,0.899,0.444,0.454,11
M,0.715,0.545,0.180,1.741,0.871,0.347,0.449,10
F,0.720,0.545,0.185,1.719,0.793,0.401,0.468,11
I,0.215,0.150,0.055,0.041,0.015,0.009,0.013,3
I,0.240,0.185,0.060,0.066,0.030,0.001,0.020,4
I,0.260,0.205,0.070,0.097,0.042,0.019,0.031,4
I,0.320,0.240,0.085,0.131,0.062,0.027,0.038,6
I,0.330,0.230,0.085,0.170,0.079,0.026,0.051,6
I,0.335,0.260,0.085,0.192,0.097,0.030,0.054,6
I,0.350,0.260,0.090,0.177,0.072,0.036,0.058,7
I,0.350,0.265,0.085,0.174,0.078,0.034,0.056,6
I,0.360,0.265,0.075,0.179,0.079,0.035,0.054,6
I,0.360,0.265,0.090,0.206,0.096,0.037,0.059,7
I,0.365,0.275,0.090,0.235,0.108,0.051,0.063,7
I,0.380,0.285,0.090,0.231,0.101,0.039,0.078,7
I,0.400,0.310,0.115,0.314,0.155,0.060,0.087,6
I,0.400,0.315,0.090,0.330,0.151,0.068,0.080,6
I,0.400,0.265,0.100,0.278,0.125,0.061,0.080,9
I,0.425,0.325,0.110,0.405,0.170,0.092,0.107,8
I,0.430,0.325,0.105,0.309,0.119,0.080,0.098,6
M,0.435,0.335,0.110,0.439,0.208,0.072,0.132,7
I,0.435,0.340,0.120,0.396,0.178,0.081,0.125,8
I,0.445,0.355,0.095,0.362,0.142,0.079,0.120,8
I,0.450,0.350,0.110,0.514,0.253,0.105,0.140,8
I,0.455,0.435,0.110,0.427,0.195,0.090,0.121,8
I,0.460,0.340,0.090,0.384,0.180,0.068,0.110,8
I,0.475,0.355,0.125,0.487,0.216,0.111,0.142,9
I,0.475,0.360,0.135,0.436,0.196,0.093,0.125,8
I,0.475,0.350,0.115,0.498,0.238,0.099,0.140,7
I,0.480,0.355,0.125,0.494,0.239,0.084,0.150,9
F,0.495,0.370,0.120,0.594,0.280,0.110,0.138,7
I,0.500,0.365,0.125,0.528,0.229,0.103,0.165,9
M,0.505,0.390,0.115,0.559,0.258,0.119,0.154,8
I,0.515,0.400,0.135,0.636,0.306,0.122,0.186,9
I,0.525,0.390,0.105,0.567,0.288,0.108,0.160,8
I,0.530,0.405,0.130,0.662,0.295,0.140,0.190,9
I,0.530,0.420,0.130,0.658,0.296,0.125,0.198,8
M,0.535,0.415,0.135,0.780,0.317,0.169,0.237,8
I,0.535,0.410,0.130,0.608,0.268,0.123,0.198,9
I,0.540,0.410,0.135,0.703,0.310,0.177,0.200,8
I,0.550,0.425,0.155,0.873,0.412,0.187,0.243,10
F,0.565,0.450,0.175,1.237,0.531,0.246,0.308,10
M,0.570,0.470,0.155,1.186,0.636,0.232,0.277,10
I,0.570,0.420,0.130,0.775,0.354,0.151,0.237,9
F,0.570,0.420,0.160,0.888,0.432,0.192,0.223,8
I,0.575,0.455,0.155,0.873,0.349,0.210,0.285,8
I,0.575,0.440,0.125,0.852,0.456,0.172,0.197,9
F,0.575,0.475,0.160,0.895,0.361,0.221,0.271,9
M,0.575,0.450,0.155,0.886,0.361,0.211,0.258,9
I,0.580,0.460,0.140,0.927,0.414,0.185,0.270,10
I,0.580,0.460,0.140,0.830,0.392,0.165,0.238,10
I,0.580,0.470,0.150,0.907,0.444,0.186,0.245,11
M,0.580,0.470,0.165,1.041,0.540,0.166,0.279,9
F,0.585,0.465,0.165,0.936,0.404,0.228,0.259,9
F,0.585,0.460,0.165,1.058,0.486,0.250,0.294,9
F,0.595,0.465,0.145,0.796,0.343,0.180,0.243,10
F,0.600,0.470,0.170,1.081,0.500,0.225,0.321,9
M,0.600,0.470,0.150,0.928,0.423,0.183,0.275,8
F,0.600,0.475,0.155,1.059,0.441,0.190,0.390,11
M,0.600,0.475,0.230,1.157,0.522,0.224,0.360,11
F,0.600,0.475,0.170,1.088,0.491,0.248,0.310,10
F,0.600,0.485,0.145,0.776,0.355,0.159,0.239,9
F,0.620,0.480,0.165,1.043,0.484,0.221,0.310,10
M,0.625,0.480,0.160,1.142,0.580,0.215,0.290,9
F,0.625,0.475,0.160,1.334,0.605,0.288,0.319,10
F,0.625,0.500,0.175,1.273,0.564,0.302,0.374,9
M,0.625,0.490,0.165,1.184,0.517,0.238,0.390,11
M,0.625,0.485,0.160,1.214,0.631,0.224,0.302,9
I,0.630,0.465,0.150,1.032,0.427,0.240,0.325,11
M,0.635,0.495,0.170,1.370,0.657,0.306,0.365,10
M,0.650,0.515,0.185,1.375,0.750,0.181,0.369,12
M,0.650,0.515,0.180,1.463,0.658,0.314,0.412,11
F,0.650,0.520,0.195,1.628,0.689,0.391,0.432,11
F,0.650,0.475,0.165,1.388,0.580,0.349,0.310,9
M,0.655,0.525,0.160,1.460,0.686,0.311,0.405,11
F,0.655,0.530,0.165,1.284,0.583,0.126,0.400,8
F,0.660,0.500,0.155,1.377,0.649,0.288,0.335,12
M,0.660,0.515,0.200,1.647,0.749,0.422,0.401,11
M,0.675,0.515,0.145,1.265,0.603,0.299,0.325,10
M,0.685,0.530,0.170,1.560,0.647,0.383,0.465,11
M,0.715,0.520,0.180,1.600,0.708,0.353,0.445,12
M,0.735,0.555,0.220,2.333,1.240,0.365,0.620,12
I,0.175,0.125,0.040,0.028,0.010,0.008,0.009,4
I,0.370,0.285,0.095,0.226,0.114,0.052,0.068,8
I,0.395,0.300,0.090,0.286,0.139,0.063,0.077,5
I,0.420,0.325,0.110,0.325,0.125,0.076,0.103,7
I,0.455,0.370,0.110,0.514,0.239,0.124,0.126,8
I,0.495,0.375,0.115,0.576,0.310,0.115,0.140,8
F,0.510,0.375,0.110,0.581,0.287,0.118,0.148,7
M,0.515,0.390,0.140,0.678,0.341,0.133,0.119,8
M,0.545,0.430,0.155,0.804,0.409,0.144,0.228,7
F,0.555,0.405,0.120,0.913,0.459,0.196,0.207,9
M,0.580,0.450,0.160,0.868,0.394,0.221,0.215,9
F,0.590,0.465,0.170,1.043,0.464,0.240,0.270,10
M,0.600,0.460,0.180,1.140,0.423,0.258,0.365,10
F,0.610,0.490,0.170,1.348,0.705,0.250,0.305,11
M,0.615,0.475,0.155,1.074,0.438,0.259,0.310,11
M,0.615,0.475,0.190,1.434,0.732,0.305,0.329,9
M,0.615,0.495,0.200,1.304,0.580,0.312,0.371,14
M,0.620,0.460,0.160,0.951,0.492,0.200,0.228,9
M,0.630,0.515,0.170,1.385,0.636,0.296,0.380,11
F,0.640,0.500,0.170,1.120,0.496,0.265,0.320,12
F,0.640,0.500,0.170,1.265,0.565,0.338,0.315,9
F,0.655,0.455,0.170,1.275,0.583,0.303,0.333,8
M,0.655,0.505,0.165,1.270,0.604,0.262,0.335,10
M,0.660,0.530,0.175,1.583,0.740,0.351,0.405,10
